elev,N,count,median,p25,p75
8,0,15,0.552,0.487,0.722
8,2,5,0.671,0.609,0.693
8,6,8,0.513,0.39,0.864
8,7,7,0.518,0.451,0.719
8,8,21,0.425,0.208,0.561
13,0,13,0.602,0.504,0.659
13,2,8,0.678,0.648,0.702
13,3,8,0.672,0.666,0.698
13,5,8,0.647,0.628,0.689
13,6,15,0.679,0.559,0.721
13,7,11,0.583,0.389,0.677
13,8,54,0.289,0.161,0.439
18,0,19,0.633,0.602,0.67
18,2,19,0.617,0.601,0.644
18,3,6,0.7,0.648,0.833
18,5,12,0.649,0.621,0.779
18,6,25,0.649,0.591,0.69
18,7,13,0.429,0.391,0.515
18,8,74,0.261,0.167,0.447
23,0,28,0.645,0.607,0.7
23,2,16,0.667,0.622,0.692
23,3,15,0.67,0.65,0.686
23,5,21,0.706,0.67,0.765
23,6,25,0.641,0.476,0.741
23,7,14,0.505,0.405,0.705
23,8,51,0.322,0.198,0.604
28,0,26,0.156,0.135,0.207
28,2,11,0.218,0.155,0.742
28,3,6,0.752,0.681,0.805
28,5,10,0.488,0.238,0.81
28,6,14,0.667,0.33,0.856
28,8,20,0.241,0.162,0.418
33,0,33,0.705,0.668,0.8
33,2,15,0.716,0.669,0.806
33,3,13,0.713,0.686,0.865
33,5,12,0.78,0.696,0.927
33,6,21,0.681,0.405,0.781
33,7,9,0.502,0.366,0.675
33,8,24,0.313,0.211,0.637
38,0,7,0.832,0.801,0.852
38,2,10,0.834,0.819,0.844
38,6,5,0.737,0.717,0.808
38,8,22,0.303,0.19,0.352
43,0,6,0.82,0.806,0.842
43,2,15,0.827,0.798,0.854
43,6,10,0.892,0.855,1.04
43,8,12,0.246,0.206,0.379
48,0,23,0.812,0.8,0.85
48,2,8,0.821,0.802,0.856
48,5,8,0.83,0.816,0.918
48,6,10,0.852,0.784,0.937
48,8,15,0.332,0.239,0.901
53,0,22,0.88,0.803,0.918
53,2,19,0.874,0.823,0.9
53,3,11,0.868,0.787,0.931
53,5,17,0.866,0.822,0.918
53,6,21,0.854,0.768,0.897
53,7,7,0.786,0.473,0.893
58,0,6,0.765,0.759,0.77
58,2,8,0.792,0.783,0.805
58,3,7,0.791,0.781,0.796
58,5,5,0.78,0.777,0.805
58,6,10,0.888,0.801,0.949
58,8,9,0.26,0.203,0.732
63,0,5,0.692,0.686,0.697
63,2,8,0.77,0.764,0.775
63,5,6,0.771,0.737,0.821
63,6,10,0.816,0.761,0.848
